dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
immunization program,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",immunization program data,
impact,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",IMPACT database,
impact 5 report,admin_linked,named area,urban / rural split,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",IMPACT 5 report,
impact covid-19 vaccine national platform,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""non_spatial"": 1}",IMPACT COVID-19 vaccine national platform,
impact evaluation conducted by central statistical agency (csa) ,unclear,place not stated,—,unknown,1,1,False,official statistics series,"{""unclear"": 1}",the 2010 Impact Evaluation conducted by the Central Statistical Agency (CSA) and the International Food Policy Research Institute (IFPRI,
impact evaluation of population-level impact of maternal health ,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",Impact Evaluation of the population-level impact of the maternal health voucher program in Uganda,
impact survey completed in,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",the impact survey completed in 2010,
impact surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",impact surveys,
implementation,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Implementation data,
implementation completion reports o f similar projects,unclear,place not stated,—,unknown,1,1,False,"official statistics series, facility / asset / infrastructure records","{""unclear"": 1}",implementation completion reports o f similar projects,
implementation reports from mnre,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",Implementation reports from MNRE,
implementation status and results,unclear,place not stated,—,unknown,1,1,False,registry / administrative database,"{""unclear"": 1}",Implementation Status and Results,
import price index,non_spatial,no place,—,no — aggregate,1,1,False,official statistics series,"{""non_spatial"": 1}",Import price Index,
import-export price index,non_spatial,no place,—,no — aggregate,1,1,False,official statistics series,"{""non_spatial"": 1}",import-export price index,
import-export survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Import-export survey,
imprest register,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",imprest register,
ims,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""unclear"": 1}",IMS,
incident and accident databases,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",Incident and accident databases,
incident and disruption reports,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Incident and disruption reports,
inclusive development in local areas of violence and idp hosting,admin_linked,named area,not stated,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Inclusive Development in Local Areas of Violence and IDP Hosting Areas: Risks and Opportunities,
income,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",income data,
income tax and social security,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",income tax and social security data,
independent verification observation,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,monitoring / tracking system,"{""point_geocoded"": 1}",independent verification observation data,
index of quality of life indicators,admin_linked,named area,local (ward/village/camp/kebele),yes — coordinates or a layer exists,1,1,False,mapped layer / geospatial product,"{""admin_linked"": 1}",index of quality of life indicators,
indicator,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",indicator data,
indicator fiches developed by ec,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",indicator fiches developed by the EC,
indicators from lgas,non_spatial,no place,—,unknown,1,1,False,registry / administrative database,"{""non_spatial"": 1}",indicators from LGAs,
indice de transparence de,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",indice de transparence de 2007,
indice nd-gain,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",indice ND-GAIN,
industrial establishments survey,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",Industrial Establishments’ Survey,
industrial production indices,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",industrial production indices,
industrial production survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Industrial Production Survey,
industrial survey,unclear,place not stated,—,no — aggregate,1,1,False,household or phone survey,"{""unclear"": 1}",Industrial Survey,
industry figures from national accounts,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",industry figures from national accounts,
inep/mec,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",INEP/MEC data,
inform risk index,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",INFORM Risk Index 2021,
informaci n de los hogares rurales,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",información de los hogares rurales,
information from customs administration,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""non_spatial"": 1}",information from the customs administration,
information on child growth,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""unclear"": 1}",information on child growth,
information routinely produced by mineduc,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",information routinely produced by MINEDUC,
information system for mass valuation,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",information system for mass valuation,
informe pgh,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Informe PGH,
informed risk index,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",2019 Informed Risk Index 2019,
informing refugee policy response in uganda results from uganda ,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",2019 Informing the Refugee Policy Response in Uganda: Results from the Uganda Refugee and Host Communities,
infrastructure assessment reports,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,facility / asset / infrastructure records,"{""point_geocoded"": 1}",Infrastructure assessment reports,
infrastructure cadaster system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",Infrastructure Cadaster System,
infrastructure cadastre system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",Infrastructure Cadastre System,
infrastructure maintenance and inspection reports,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Infrastructure maintenance and inspection reports,
infrastructure/utility cadastre,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",infrastructure/utility cadastre,
initial census,admin_linked,named area,not stated,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",initial census,
initial household survey,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",initial household survey,
input-output table,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",input-output table,
inqu rito aos or amentos familiares,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",Inquérito aos Orçamentos Familiares,
ins population estimates,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",INS population estimates,
ins poverty profile,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",INS poverty profile 2019,
inspection,admin_linked,named area,point,maybe — needs the survey's own geography,1,1,False,facility / asset / infrastructure records,"{""admin_linked"": 1}",inspection data,
inspection and re- br inspection reports from br geid,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,1,1,False,facility / asset / infrastructure records,"{""admin_linked"": 1}",Inspection and re-<br>inspection reports from the<br>GEID,
installation logs,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",installation logs,
installed capacity data & generation mix,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Installed capacity 2024 data & generation mix 2023 data,
insurance,unclear,place not stated,—,yes — coordinates or a layer exists,1,1,False,"household or phone survey, mapped layer / geospatial product","{""unclear"": 1}",insurance data,
int j sector profile,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}","Int@j sector profile, 2018",
intake,admin_linked,named area,province / region / state,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",intake data,
integrated beneficiary registry and household surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, registry / administrative database","{""unclear"": 1}",Integrated Beneficiary Registry and Household Surveys,
integrated beneficiary registry and househould surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, registry / administrative database","{""unclear"": 1}",Integrated Beneficiary Registry and Househould Surveys,
integrated cadastre and property registry information system,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",integrated cadastre and property registry information system,
integrated database at mecys,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""non_spatial"": 1}",Integrated database at MECYS,
integrated database of beneficiaries,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",Integrated Database of Beneficiaries,
integrated household budget survey,unclear,place not stated,—,no — aggregate,1,1,False,"household or phone survey, official statistics series","{""unclear"": 1}",integrated household budget survey,
integrated household survey,admin_linked,named area,urban / rural split,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",Integrated Household Survey,
integrated information system,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",integrated information system,
integrated p-mis,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",integrated P-MIS,
integrated road accident,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"registry / administrative database, facility / asset / infrastructure records","{""point_geocoded"": 1}",Integrated Road Accident Database,
intention surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",intention surveys,
intention surveys by both united nations high commission for ref,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}",recent intention surveys by both the United Nations High Commission for Refugees and IOM,
inter-agency gender assessment,admin_linked,named area,local (ward/village/camp/kebele),unknown,1,1,False,facility / asset / infrastructure records,"{""admin_linked"": 1}",inter-agency gender assessment,
intermediate output and outcome,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",intermediate output and outcome data,
international disaster,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""non_spatial"": 1}",International Disaster Database,
international disasters,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",international disasters database,
international labor organization estimates,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",2021 International Labor Organization estimates,
international labour organization ilostat,non_spatial,no place,—,unknown,1,1,False,official statistics series,"{""non_spatial"": 1}","International Labour Organization, ILOSTAT",
international labour organization statistics,non_spatial,no place,—,no — aggregate,1,1,False,official statistics series,"{""non_spatial"": 1}",International Labour Organization Statistics,
international organization for migration (iom) s most estimate (,admin_linked,named area,province / region / state,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",The International Organization for Migration (IOM)’s most recent estimate (September 2022),
international trade,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",international trade data,
interview with community chief,admin_linked,named area,local (ward/village/camp/kebele),maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",interview with the community chief,
interviews with 185 key informants,admin_linked,named area,point,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",interviews with 185 key informants,
interviews with staff in facilities,admin_linked,named area,point,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",interviews with staff in the facilities,
inventory of,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",inventory of 1989,
inventory of affected assets,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",inventory of affected assets,
inventory of all government services,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",inventory of all government services,
inventory of collective cloas,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Inventory of Collective CLOAs,
inventory of district roads and rural roads,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,facility / asset / infrastructure records,"{""point_geocoded"": 1}",inventory of District Roads and Rural Roads,
inventory of fixed assets,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",inventory of fixed assets,
inventory of greenhouse gases,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Inventory of Greenhouse Gases,
inventory of infrastructure and services,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",inventory of infrastructure and services,
inventory of installed hfcs,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",inventory of installed HFCs,
inventory of land conflict claims,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"monitoring / tracking system, mapped layer / geospatial product","{""point_geocoded"": 1}",Inventory of land conflict claims,
inventory of personal protective equipment,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",inventory of the personal protective equipment,
inventory of their ghg emissions,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",inventory of their GHG emissions,
inventory reports,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",inventory reports,
inventory surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, facility / asset / infrastructure records","{""unclear"": 1}",inventory surveys,
investing in ethiopia s future education sector financing review,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Investing in Ethiopia’s Future: Education Sector Financing Review,
invoice register,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",invoice register,
iom displacement index,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",IOM Displacement Index,
iom draft population movement analysis october,admin_linked,named area,local (ward/village/camp/kebele),unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",IOM “Draft Population Movement Analysis October 2019,
iom mobility atlas,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",IOM Mobility Atlas,
iom-dtm,non_spatial,no place,—,unknown,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",IOM-DTM,
iomdisplacement tracking matrix,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""admin_linked"": 1}",IOMDisplacement Tracking Matrix,
ipc ethiopia note ethiopia acute food insecurity situation octob,unclear,place not stated,—,yes — coordinates or a layer exists,1,1,False,mapped layer / geospatial product,"{""unclear"": 1}",the IPC Ethiopia note: _Ethiopia: Acute Food Insecurity Situation:_ _October - December 2020 and Projections for January - June 2021 and July - September 2021,
ipea social vulnerability index,admin_linked,named area,country only,no — aggregate,1,1,False,household or phone survey,"{""admin_linked"": 1}",IPEA Social Vulnerability Index,
irap assessment,admin_linked,named area,not stated,unknown,1,1,False,facility / asset / infrastructure records,"{""admin_linked"": 1}",iRAP assessment,
iraq household socioeconomic survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Iraq Household Socioeconomic Survey III,
iraq social safety net enhancement project,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",Iraq Social Safety Net Enhancement Project,
irf world road statistics,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1}",IRF World Road Statistics,
irrigation s schemes water balance,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",irrigation’s schemes water balance,
iskur,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""unclear"": 1}",ISKUR,
ismep icr,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",ISMEP ICR,
isr after jris mission in november,unclear,place not stated,—,unknown,1,1,False,registry / administrative database,"{""unclear"": 1}",The ISR after the JRIS mission in November 2011,
issf,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",ISSF data,
iterative beneficiary monitoring (ibm) survey,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, monitoring / tracking system","{""unclear"": 1}",Iterative Beneficiary Monitoring (IBM) survey,
its,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",ITS,
its own survey o f water resources in puttalam district,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",its own survey o f water resources in the Puttalam district,
iucn red list,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",IUCN Red List,
iva customer surveys,unclear,place not stated,—,yes — coordinates or a layer exists,1,1,False,"satellite / raster / index, household or phone survey","{""unclear"": 1}",IVA customer surveys,
izs construction / rehabilitation / upgrade results,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",IZS annual construction / rehabilitation / upgrade results,
izs surveys and infrastructure condition reports,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,household or phone survey,"{""point_geocoded"": 1}",IZS annual surveys and infrastructure condition reports,
january capacity assessment,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",January 2025 capacity assessment,
january government assessment,admin_linked,named area,local (ward/village/camp/kebele),unknown,1,1,False,facility / asset / infrastructure records,"{""admin_linked"": 1}",January 2022 government assessment,
jirama water department,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",JIRAMA water department data,
jis,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",JIS,
jlmps,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",JLMPS 2016 data,
jnhcr,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",JNHCR,
job center lmis,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,facility / asset / infrastructure records,"{""admin_linked"": 1}",Job Center LMIS,
job informality and poverty in uganda insights on performance be,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}","Job, Informality and poverty in Uganda: Insights on performance before and during COVID-19",
job market,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1}",Job market data,
job seekers,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""non_spatial"": 1}",job seekers data,
joint government-unhcr survey of idps in june,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""non_spatial"": 1}","the joint Government-UNHCR survey of IDPs in June, 2002",
joint monitoring program,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",Joint Monitoring Program,
joint monitoring programme,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,monitoring / tracking system,"{""non_spatial"": 1}",Joint Monitoring Programme,
joint recovery needs assessment (jrna) for fizuli agdam and jabr,admin_linked,named area,district / sub-county,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}","the Joint Recovery Needs Assessment (JRNA) for Fizuli, Agdam and Jabrayil",
joint united nations mdg progress assessment,non_spatial,no place,—,unknown,1,1,False,registry / administrative database,"{""non_spatial"": 1}",joint United Nations **MDG** progress assessment,
jordan economic monitor,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Jordan Economic Monitor,
jordan improving women economic opportunities - select entry poi,non_spatial,no place,—,unknown,1,1,False,official statistics series,"{""non_spatial"": 1}",“Jordan: Improving Women Economic Opportunities - Select Entry Points for Policy Dialogue and Operational Interventions”,
judicial registers,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",judicial registers,
june rapid household survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",June 2022 Rapid Household Survey,
kabev,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,registry / administrative database,"{""point_geocoded"": 1}",KABEV database,
kakuma as a marketplace a consumer and market study of a refugee,admin_linked,named area,local (ward/village/camp/kebele),unknown,1,1,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1}",Kakuma as a Marketplace: A consumer and market study of a refugee camp and town in northwest Kenya,
kalahi-cidss project information management,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""unclear"": 1}",Kalahi-CIDSS Project Information Management,
kcsap pad,unclear,place not stated,—,unknown,1,1,False,household or phone survey,"{""unclear"": 1}",KCSAP PAD 2017,
kdhs findings,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",the KDHS 2008 findings,
keninvest investor,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""unclear"": 1}",KenInvest investor database,
kenya climate risk profile,national_spatial_derived,mapped / satellite,country only,unknown,1,1,False,satellite / raster / index,"{""national_spatial_derived"": 1}",Kenya Climate Risk Profile,
kenya covid-19 bps,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Kenya COVID-19 BPS,
kenya demographic and health survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",2008 Kenya Demographic and Health Survey,
kenya demographic health survey kdhs,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""non_spatial"": 1}",Kenya Demographic Health Survey [KDHS],
kenya economic update in search of fiscal space - government spe,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Kenya Economic Update: In search of fiscal space - Government spending and taxation: Who benefits?_ Edition No. 18,
kenya gender landscape,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Kenya Gender Landscape,
kenya integrated household budget survey,non_spatial,no place,—,no — aggregate,1,1,False,"household or phone survey, official statistics series","{""non_spatial"": 1}",Kenya Integrated Household Budget Survey_,
kenya ipc acute food insecurity and acute malnutrition analysis ,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",Kenya: IPC Acute Food Insecurity and Acute Malnutrition Analysis (July 2023 - January 2024),
kenya macro poverty outlook april navigating pandemic world bank,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}","Kenya Macro Poverty Outlook, April 2021, Navigating the pandemic, The World Bank",
kenya malaria indicator survey,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",Kenya Malaria Indicator Survey,
kenya national census,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",Kenya National Census,
kenya population and housing census results,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""unclear"": 1}",2019 Kenya Population and Housing Census Results,
kenya poverty and equity assessment,unclear,place not stated,—,unknown,1,1,False,"named source, family not stated","{""unclear"": 1}",2023 Kenya Poverty and Equity Assessment,
kenya poverty and gender assessment ( ),non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",Kenya Poverty and Gender Assessment (2018),
kenya poverty and gender assessment - a decade of progress and c,non_spatial,no place,—,unknown,1,1,False,registry / administrative database,"{""non_spatial"": 1}",Kenya Poverty and Gender Assessment 2015/16 - A Decade of Progress and the Challenges Ahead,
kenya poverty and gender assessment october world bank,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}","Kenya Poverty and Gender Assessment, October 2018, World Bank",
kenya poverty and inequality assessment (july ),admin_linked,named area,urban / rural split,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",The Kenya Poverty and Inequality Assessment (July 2008),
kenya social protection and jobs public expenditure review,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",the Kenya Social Protection and Jobs Public Expenditure Review,
key data and relevant studies,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",key data and relevant studies,
key informant interviews,unclear,place not stated,—,unknown,1,1,False,household or phone survey,"{""unclear"": 1}",Key informant interviews,
key informant survey,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",key informant survey,
key informant survey of 356 afghanistan humanitarian and develop,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",key informant survey of 356 Afghanistan humanitarian and development actors,
khibs,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",KHIBS,
khyber pakhtunkhwa health roadmap stock take,non_spatial,no place,—,unknown,1,1,False,facility / asset / infrastructure records,"{""non_spatial"": 1}",Khyber Pakhtunkhwa Health Roadmap Stock Take,
kihbs kenya social protection and job programs public expenditur,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",the KIHBS 2015/2016 Kenya Social Protection and Job Programs Public Expenditure Review,
kiribati population and housing census,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series","{""non_spatial"": 1}",2020 Kiribati Population and Housing Census,
kiribati social development indicator survey,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",Kiribati Social Development Indicator Survey,
kivu security tracker,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",Kivu Security Tracker,
kjip,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",KJIP,
klmis,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""admin_linked"": 1}",KLMIS,
kmits monitoring report,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"registry / administrative database, monitoring / tracking system","{""unclear"": 1}",KMITS monitoring report,
know-your-customer (kyc) registry,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,registry / administrative database,"{""admin_linked"": 1}",know-your-customer (KYC) registry,
knowledge attitude and practice (kap) surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""unclear"": 1}","Knowledge, Attitude and Practice (KAP) surveys",
